City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
266,Log,RU,49.4844,43.8613,85.08,24,80,7.18,broken clouds
267,Presidente Epitacio,BR,-21.7633,-52.1156,86.07,28,4,10.18,clear sky
268,Esperance,AU,-33.8667,121.9,48.04,71,86,22.7,overcast clouds
269,Murakami,JP,38.2333,139.4833,69.08,91,5,4.29,clear sky
270,Kabare,CD,-2.4683,28.8242,73.81,45,99,3.29,overcast clouds
271,Safaga,EG,26.7292,33.9365,94.17,46,4,13.89,clear sky
272,Chiradzulu,MW,-15.6746,35.1407,64.02,45,40,5.75,scattered clouds
273,Callaway,US,30.153,-85.5699,89.94,68,1,3.0,clear sky
274,Saint-Philippe,RE,-21.3585,55.7679,71.15,74,48,12.03,scattered clouds
275,Brae,GB,60.3964,-1.353,55.31,85,91,9.31,overcast clouds
276,Bhadrachalam,IN,17.6667,80.8833,84.6,68,100,9.04,overcast clouds
277,Tiksi,RU,71.6872,128.8694,36.61,94,67,6.8,broken clouds
278,Korla,CN,41.7597,86.1469,95.85,13,0,5.93,clear sky
279,Georgetown,MY,5.4112,100.3354,84.88,82,20,2.3,few clouds
280,Grindavik,IS,63.8424,-22.4338,58.95,76,0,17.27,clear sky
281,Sibolga,ID,1.7427,98.7792,78.12,88,91,2.24,overcast clouds
282,Shingu,JP,33.7333,135.9833,75.51,83,96,5.41,overcast clouds
283,Alugan,PH,12.2188,125.4808,81.45,79,100,8.68,moderate rain
284,Isangel,VU,-19.55,169.2667,69.66,69,43,11.77,scattered clouds
285,Olinda,BR,-8.0089,-34.8553,78.53,73,40,6.91,scattered clouds
286,Sao Bento,BR,-6.2833,-37.75,88.25,31,7,10.29,clear sky
287,Arlit,NE,18.7369,7.3853,98.8,29,87,5.1,overcast clouds
288,Coihaique,CL,-45.5752,-72.0662,39.15,75,75,2.3,broken clouds
289,Juba,SS,4.8517,31.5825,75.78,83,58,5.06,light rain
290,Okhotsk,RU,59.3833,143.3,58.28,89,7,9.24,clear sky
291,Longyearbyen,SJ,78.2186,15.6401,46.24,87,75,5.75,broken clouds
292,Sorland,NO,67.667,12.6934,62.46,72,0,11.5,clear sky
293,General Roca,AR,-39.0333,-67.5833,45.0,29,33,8.9,scattered clouds
294,Marawi,PH,7.9986,124.2928,71.44,86,100,7.4,overcast clouds
295,Oksfjord,NO,70.2396,22.3479,64.47,82,70,4.83,broken clouds
296,Seminole,US,28.7086,-81.2081,90.18,80,20,3.0,few clouds
297,Arkhangelsk,RU,64.5401,40.5433,60.91,63,0,11.18,clear sky
298,Shihezi,CN,44.3,86.0333,88.84,23,57,2.21,broken clouds
299,Mogadishu,SO,2.0371,45.3438,78.67,65,90,17.27,overcast clouds
300,Adrar,MR,20.5022,-10.0711,107.13,9,100,3.98,overcast clouds
301,Jales,BR,-20.2689,-50.5458,88.12,19,4,13.35,clear sky
302,Akyab,MM,20.15,92.9,80.29,90,100,18.59,light rain
303,Kiruna,SE,67.8557,20.2251,81.52,28,6,6.91,clear sky
304,Port Antonio,JM,18.18,-76.4612,84.9,68,94,8.5,overcast clouds
305,Great Bend,US,38.3645,-98.7648,81.84,79,1,1.01,clear sky
306,Nuevitas,CU,21.5453,-77.2644,83.64,66,39,7.14,scattered clouds
307,Cockburn Town,TC,21.4612,-71.1419,82.29,80,84,20.22,broken clouds
308,Damghan,IR,36.1683,54.348,91.71,28,72,1.61,broken clouds
309,Sandwick,GB,60.0,-1.25,55.22,94,90,4.61,fog
310,Saint George,US,37.1041,-113.5841,77.38,84,1,3.0,clear sky
311,Dobric,RS,44.7019,19.5814,95.05,22,69,7.38,broken clouds
312,Kieta,PG,-6.2167,155.6333,78.13,87,46,3.87,moderate rain
313,Sitka,US,57.0531,-135.33,57.09,82,75,0.0,light rain
314,Kloulklubed,PW,7.0419,134.2556,81.1,75,100,14.43,overcast clouds
315,Praya,CV,14.9215,-23.5087,82.94,65,40,11.5,scattered clouds
316,Fortuna,US,40.5982,-124.1573,63.19,95,90,0.0,light rain
317,Kasama,ZM,-10.2129,31.1808,70.23,28,7,8.08,clear sky
318,Mindelo,CV,16.8901,-24.9804,81.95,57,20,20.71,few clouds
319,Roma,US,43.2128,-75.4557,80.83,75,2,3.76,clear sky
320,Barreiras,BR,-12.1528,-44.99,90.48,23,31,4.12,scattered clouds
321,Tupik,RU,54.4253,119.9327,61.63,89,100,3.29,overcast clouds
322,Whitehorse,CA,60.7161,-135.0538,49.01,100,75,4.0,light intensity shower rain
323,Along,IN,28.1667,94.7667,76.75,94,85,1.54,overcast clouds
324,Axim,GH,4.8699,-2.2405,81.0,63,100,9.31,overcast clouds
325,Poya,NC,-21.35,165.15,62.85,76,16,3.2,few clouds
326,Tingi,TZ,-11.3,35.0333,58.23,68,15,4.14,few clouds
327,Kiunga,PG,-6.1219,141.2906,73.09,98,100,2.64,overcast clouds
328,Haines Junction,CA,60.7522,-137.5108,48.15,93,99,2.3,overcast clouds
329,Torbay,CA,47.6666,-52.7314,67.75,96,90,19.57,light rain
330,Tommot,RU,58.9564,126.2925,64.85,93,9,1.61,moderate rain
331,Airai,TL,-8.9266,125.4092,56.68,81,24,3.11,few clouds
332,Deogarh,IN,21.5333,84.7333,77.18,88,100,10.67,moderate rain
333,Ambagarh Chauki,IN,20.7833,80.7167,78.12,80,100,9.71,moderate rain
334,Ixtapa,MX,20.7,-105.2,79.83,83,40,3.44,scattered clouds
335,Mahon,ES,39.8885,4.2658,84.76,42,20,9.22,few clouds
336,Hefei,CN,31.8639,117.2808,77.02,100,90,11.18,moderate rain
337,Tautira,PF,-17.7333,-149.15,73.42,76,18,10.0,light rain
338,Maumere,ID,-8.6199,122.2111,76.12,78,11,4.88,few clouds
339,Rincon,US,32.296,-81.2354,81.05,100,90,6.91,moderate rain
340,Lavrentiya,RU,65.5833,-171.0,43.29,99,100,5.55,light rain
341,Tonj,SS,7.2737,28.6822,72.77,91,99,3.6,overcast clouds
342,Tailai,CN,46.3833,123.4,72.1,80,70,7.65,broken clouds
343,Le Havre,FR,49.4938,0.1077,72.3,85,75,4.61,broken clouds
344,Newport,GB,51.5877,-2.9984,71.78,84,52,2.66,broken clouds
345,Bardiyah,LY,31.7561,25.0865,83.98,47,0,15.7,clear sky
346,Dunmore East,IE,52.1514,-6.9861,66.09,70,40,14.97,scattered clouds
