City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Colares,PT,2021-07-21 14:18:32,38.7992,-9.4469,82.08,55,20,13.8
168,Brandon,US,2021-07-21 14:18:32,27.9378,-82.2859,89.1,85,90,1.01
169,Clyde River,CA,2021-07-21 14:18:32,70.4692,-68.5914,41.23,81,90,10.36
170,Port Hardy,CA,2021-07-21 14:18:32,50.6996,-127.4199,57.38,77,75,5.75
171,Pitimbu,BR,2021-07-21 14:18:33,-7.4706,-34.8086,75.79,77,10,14.83
172,Lucea,JM,2021-07-21 14:18:33,18.451,-78.1736,87.66,69,6,14.25
173,Pouembout,NC,2021-07-21 14:18:33,-21.1333,164.9,63.99,82,20,3.2
174,Havelock,US,2021-07-21 14:18:33,34.8791,-76.9013,78.94,89,90,3.0
175,Iqaluit,CA,2021-07-21 14:18:33,63.7506,-68.5145,42.53,86,90,5.01
176,Tarrafal,CV,2021-07-21 14:18:33,15.2833,-23.7667,83.19,80,92,6.11
177,Olafsvik,IS,2021-07-21 14:18:35,64.8945,-23.7142,53.56,79,7,15.01
178,Nadadores,MX,2021-07-21 14:18:35,27.05,-101.6,83.25,62,13,4.59
179,Macapa,BR,2021-07-21 14:18:35,0.0389,-51.0664,89.58,70,40,9.22
180,Bengkulu,ID,2021-07-21 14:18:35,-3.8004,102.2655,78.42,86,98,3.15
181,Luderitz,NA,2021-07-21 14:18:36,-26.6481,15.1594,65.75,32,0,27.74
182,Kudat,MY,2021-07-21 14:18:36,6.8837,116.8477,80.53,83,20,4.61
183,Nome,US,2021-07-21 14:18:36,64.5011,-165.4064,46.47,93,90,12.66
184,Ocos,GT,2021-07-21 14:18:36,14.5094,-92.1933,88.32,71,28,3.0
185,Richards Bay,ZA,2021-07-21 14:15:12,-28.783,32.0377,66.61,67,14,12.66
186,Pisco,PE,2021-07-21 14:18:36,-13.7,-76.2167,60.85,82,90,9.22
187,Marzuq,YE,2021-07-21 14:18:37,14.4,46.4667,79.66,60,76,15.68
188,Victoria,HK,2021-07-21 14:16:49,22.2855,114.1577,83.25,91,100,7.0
189,Paris,FR,2021-07-21 14:15:21,48.8534,2.3488,86.56,47,0,3.0
190,Avarua,CK,2021-07-21 14:18:37,-21.2078,-159.775,75.25,94,40,5.75
191,Lilburn,US,2021-07-21 14:18:37,33.8901,-84.143,76.84,85,75,6.91
192,Opuwo,NA,2021-07-21 14:18:37,-18.0607,13.84,81.45,11,0,9.91
193,Lebu,CL,2021-07-21 14:18:37,-37.6167,-73.65,52.75,91,100,4.14
194,Thinadhoo,MV,2021-07-21 14:18:38,0.5333,72.9333,81.91,75,100,8.1
